n = 9;
LMAX = 16;
BMAX = 4;
SMAX = 4;
CMAX = 16;
NBUS = 4;
numberOfControllers = 1;
lambda = 9;
busPerMC = 4;
Arcs = 
{
< 1 2 >
< 2 1 >
< 2 1 >
< 1 2 >
< 1 4 >
< 4 1 >
< 4 1 >
< 1 4 >
< 2 3 >
< 3 2 >
< 3 2 >
< 2 3 >
< 3 6 >
< 6 3 >
< 6 3 >
< 3 6 >
< 4 5 >
< 5 4 >
< 5 4 >
< 4 5 >
< 5 6 >
< 6 5 >
< 6 5 >
< 5 6 >
< 5 7 >
< 7 5 >
< 7 5 >
< 5 7 >
< 7 8 >
< 8 7 >
< 8 7 >
< 7 8 >
< 8 9 >
< 9 8 >
< 9 8 >
< 8 9 >
};
Dst = 
{
< 1 2 0.011547 >
< 2 1 0.011547 >
< 1 3 0.02 >
< 3 1 0.02 >
< 1 4 0.011547 >
< 4 1 0.011547 >
< 1 5 0.02 >
< 5 1 0.02 >
< 1 6 0.023094 >
< 6 1 0.023094 >
< 1 7 0.0305505 >
< 7 1 0.0305505 >
< 1 8 0.04 >
< 8 1 0.04 >
< 1 9 0.0503322 >
< 9 1 0.0503322 >
< 2 3 0.011547 >
< 3 2 0.011547 >
< 2 4 0.02 >
< 4 2 0.02 >
< 2 5 0.023094 >
< 5 2 0.023094 >
< 2 6 0.02 >
< 6 2 0.02 >
< 2 7 0.034641 >
< 7 2 0.034641 >
< 2 8 0.0416333 >
< 8 2 0.0416333 >
< 2 9 0.052915 >
< 9 2 0.052915 >
< 3 4 0.023094 >
< 4 3 0.023094 >
< 3 5 0.02 >
< 5 3 0.02 >
< 3 6 0.011547 >
< 6 3 0.011547 >
< 3 7 0.0305505 >
< 7 3 0.0305505 >
< 3 8 0.034641 >
< 8 3 0.034641 >
< 3 9 0.046188 >
< 9 3 0.046188 >
< 4 5 0.011547 >
< 5 4 0.011547 >
< 4 6 0.02 >
< 6 4 0.02 >
< 4 7 0.02 >
< 7 4 0.02 >
< 4 8 0.0305505 >
< 8 4 0.0305505 >
< 4 9 0.04 >
< 9 4 0.04 >
< 5 6 0.011547 >
< 6 5 0.011547 >
< 5 7 0.011547 >
< 7 5 0.011547 >
< 5 8 0.02 >
< 8 5 0.02 >
< 5 9 0.0305505 >
< 9 5 0.0305505 >
< 6 7 0.02 >
< 7 6 0.02 >
< 6 8 0.023094 >
< 8 6 0.023094 >
< 6 9 0.034641 >
< 9 6 0.034641 >
< 7 8 0.011547 >
< 8 7 0.011547 >
< 7 9 0.02 >
< 9 7 0.02 >
< 8 9 0.011547 >
< 9 8 0.011547 >
};
rX = {
};
