n = 6;
LMAX = 16;
BMAX = 4;
SMAX = 4;
CMAX = 16;
NBUS = 4;
numberOfControllers = 2;
lambda = 3;
busPerMC = 4;
Arcs = 
{
< 1 2 >
< 2 1 >
< 2 1 >
< 1 2 >
< 2 5 >
< 5 2 >
< 5 2 >
< 2 5 >
< 4 6 >
< 6 4 >
< 6 4 >
< 4 6 >
< 6 7 >
< 7 6 >
< 7 6 >
< 6 7 >
};
Dst = 
{
< 1 2 0.011547 >
< 2 1 0.011547 >
< 1 3 0.06 >
< 3 1 0.06 >
< 1 4 0.0305505 >
< 4 1 0.0305505 >
< 1 5 0.02 >
< 5 1 0.02 >
< 1 6 0.04 >
< 6 1 0.04 >
< 1 7 0.0416333 >
< 7 1 0.0416333 >
< 1 8 0.0416333 >
< 8 1 0.0416333 >
< 2 3 0.0503322 >
< 3 2 0.0503322 >
< 2 4 0.034641 >
< 4 2 0.034641 >
< 2 5 0.011547 >
< 5 2 0.011547 >
< 2 6 0.0416333 >
< 6 2 0.0416333 >
< 2 7 0.04 >
< 7 2 0.04 >
< 2 8 0.034641 >
< 8 2 0.034641 >
< 3 4 0.0832666 >
< 4 3 0.0832666 >
< 3 5 0.052915 >
< 5 3 0.052915 >
< 3 6 0.087178 >
< 6 3 0.087178 >
< 3 7 0.080829 >
< 7 3 0.080829 >
< 3 8 0.064291 >
< 8 3 0.064291 >
< 4 5 0.0305505 >
< 5 4 0.0305505 >
< 4 6 0.011547 >
< 6 4 0.011547 >
< 4 7 0.02 >
< 7 4 0.02 >
< 4 8 0.034641 >
< 8 4 0.034641 >
< 5 6 0.034641 >
< 6 5 0.034641 >
< 5 7 0.0305505 >
< 7 5 0.0305505 >
< 5 8 0.023094 >
< 8 5 0.023094 >
< 6 7 0.011547 >
< 7 6 0.011547 >
< 6 8 0.0305505 >
< 8 6 0.0305505 >
< 7 8 0.02 >
< 8 7 0.02 >
};
rX = {
};
