n = 84;
LMAX = 16;
BMAX = 4;
SMAX = 4;
CMAX = 16;
NBUS = 4;
numberOfControllers = 6;
lamdbda = 14;
busPerMC = 4;
Arcs = 
{
< 1 2 >
< 2 1 >
< 2 3 >
< 3 2 >
< 2 14 >
< 14 2 >
< 3 4 >
< 4 3 >
< 4 5 >
< 5 4 >
< 4 16 >
< 16 4 >
< 5 6 >
< 6 5 >
< 6 7 >
< 7 6 >
< 6 18 >
< 18 6 >
< 7 8 >
< 8 7 >
< 8 9 >
< 9 8 >
< 8 20 >
< 20 8 >
< 9 10 >
< 10 9 >
< 10 11 >
< 11 10 >
< 10 22 >
< 22 10 >
< 11 12 >
< 12 11 >
< 12 24 >
< 24 12 >
< 13 14 >
< 14 13 >
< 13 25 >
< 25 13 >
< 14 15 >
< 15 14 >
< 15 16 >
< 16 15 >
< 15 27 >
< 27 15 >
< 16 17 >
< 17 16 >
< 17 18 >
< 18 17 >
< 17 29 >
< 29 17 >
< 18 19 >
< 19 18 >
< 19 20 >
< 20 19 >
< 19 31 >
< 31 19 >
< 20 21 >
< 21 20 >
< 21 22 >
< 22 21 >
< 21 33 >
< 33 21 >
< 22 23 >
< 23 22 >
< 23 24 >
< 24 23 >
< 23 35 >
< 35 23 >
< 25 26 >
< 26 25 >
< 26 27 >
< 27 26 >
< 26 38 >
< 38 26 >
< 27 28 >
< 28 27 >
< 28 29 >
< 29 28 >
< 28 40 >
< 40 28 >
< 29 30 >
< 30 29 >
< 30 31 >
< 31 30 >
< 30 42 >
< 42 30 >
< 31 32 >
< 32 31 >
< 32 33 >
< 33 32 >
< 32 44 >
< 44 32 >
< 33 34 >
< 34 33 >
< 34 35 >
< 35 34 >
< 34 46 >
< 46 34 >
< 35 36 >
< 36 35 >
< 36 48 >
< 48 36 >
< 37 38 >
< 38 37 >
< 37 49 >
< 49 37 >
< 38 39 >
< 39 38 >
< 39 40 >
< 40 39 >
< 39 51 >
< 51 39 >
< 40 41 >
< 41 40 >
< 41 42 >
< 42 41 >
< 41 53 >
< 53 41 >
< 42 43 >
< 43 42 >
< 43 44 >
< 44 43 >
< 43 55 >
< 55 43 >
< 44 45 >
< 45 44 >
< 45 46 >
< 46 45 >
< 45 57 >
< 57 45 >
< 46 47 >
< 47 46 >
< 47 48 >
< 48 47 >
< 47 59 >
< 59 47 >
< 49 50 >
< 50 49 >
< 50 51 >
< 51 50 >
< 50 62 >
< 62 50 >
< 51 52 >
< 52 51 >
< 52 53 >
< 53 52 >
< 52 64 >
< 64 52 >
< 53 54 >
< 54 53 >
< 54 55 >
< 55 54 >
< 54 66 >
< 66 54 >
< 55 56 >
< 56 55 >
< 56 57 >
< 57 56 >
< 56 68 >
< 68 56 >
< 57 58 >
< 58 57 >
< 58 59 >
< 59 58 >
< 58 70 >
< 70 58 >
< 59 60 >
< 60 59 >
< 60 72 >
< 72 60 >
< 61 62 >
< 62 61 >
< 61 73 >
< 73 61 >
< 62 63 >
< 63 62 >
< 63 64 >
< 64 63 >
< 63 75 >
< 75 63 >
< 64 65 >
< 65 64 >
< 65 66 >
< 66 65 >
< 65 77 >
< 77 65 >
< 66 67 >
< 67 66 >
< 67 68 >
< 68 67 >
< 67 79 >
< 79 67 >
< 68 69 >
< 69 68 >
< 69 70 >
< 70 69 >
< 69 81 >
< 81 69 >
< 70 71 >
< 71 70 >
< 71 72 >
< 72 71 >
< 71 83 >
< 83 71 >
< 73 74 >
< 74 73 >
< 74 75 >
< 75 74 >
< 75 76 >
< 76 75 >
< 76 77 >
< 77 76 >
< 77 78 >
< 78 77 >
< 78 79 >
< 79 78 >
< 79 80 >
< 80 79 >
< 80 81 >
< 81 80 >
< 81 82 >
< 82 81 >
< 82 83 >
< 83 82 >
< 83 84 >
< 84 83 >
};
Dst = 
{
< 1 2 0.0866036 >
< 2 1 0.0866036 >
< 1 3 0.15 >
< 3 1 0.15 >
< 1 4 0.229129 >
< 4 1 0.229129 >
< 1 5 0.3 >
< 5 1 0.3 >
< 1 6 0.377492 >
< 6 1 0.377492 >
< 1 7 0.45 >
< 7 1 0.45 >
< 1 8 0.526783 >
< 8 1 0.526783 >
< 1 9 0.6 >
< 9 1 0.6 >
< 1 10 0.676388 >
< 10 1 0.676388 >
< 1 11 0.75 >
< 11 1 0.75 >
< 1 12 0.826136 >
< 12 1 0.826136 >
< 1 13 0.173207 >
< 13 1 0.173207 >
< 1 14 0.150002 >
< 14 1 0.150002 >
< 1 15 0.22913 >
< 15 1 0.22913 >
< 1 16 0.259809 >
< 16 1 0.259809 >
< 1 17 0.346411 >
< 17 1 0.346411 >
< 1 18 0.396864 >
< 18 1 0.396864 >
< 1 19 0.482183 >
< 19 1 0.482183 >
< 1 20 0.540833 >
< 20 1 0.540833 >
< 1 21 0.6245 >
< 21 1 0.6245 >
< 1 22 0.687387 >
< 22 1 0.687387 >
< 1 23 0.769741 >
< 23 1 0.769741 >
< 1 24 0.835165 >
< 24 1 0.835165 >
< 1 25 0.259807 >
< 25 1 0.259807 >
< 1 26 0.312248 >
< 26 1 0.312248 >
< 1 27 0.299999 >
< 27 1 0.299999 >
< 1 28 0.37749 >
< 28 1 0.37749 >
< 1 29 0.396862 >
< 29 1 0.396862 >
< 1 30 0.482181 >
< 30 1 0.482181 >
< 1 31 0.519615 >
< 31 1 0.519615 >
< 1 32 0.606217 >
< 32 1 0.606217 >
< 1 33 0.653834 >
< 33 1 0.653834 >
< 1 34 0.739932 >
< 34 1 0.739932 >
< 1 35 0.793725 >
< 35 1 0.793725 >
< 1 36 0.878919 >
< 36 1 0.878919 >
< 1 37 0.433013 >
< 37 1 0.433013 >
< 1 38 0.396861 >
< 38 1 0.396861 >
< 1 39 0.458258 >
< 39 1 0.458258 >
< 1 40 0.449999 >
< 40 1 0.449999 >
< 1 41 0.526783 >
< 41 1 0.526783 >
< 1 42 0.540832 >
< 42 1 0.540832 >
< 1 43 0.6245 >
< 43 1 0.6245 >
< 1 44 0.653834 >
< 44 1 0.653834 >
< 1 45 0.739933 >
< 45 1 0.739933 >
< 1 46 0.779422 >
< 46 1 0.779422 >
< 1 47 0.866026 >
< 47 1 0.866026 >
< 1 48 0.912414 >
< 48 1 0.912414 >
< 1 49 0.519617 >
< 49 1 0.519617 >
< 1 50 0.567891 >
< 50 1 0.567891 >
< 1 51 0.540834 >
< 51 1 0.540834 >
< 1 52 0.606218 >
< 52 1 0.606218 >
< 1 53 0.600001 >
< 53 1 0.600001 >
< 1 54 0.676388 >
< 54 1 0.676388 >
< 1 55 0.687387 >
< 55 1 0.687387 >
< 1 56 0.76974 >
< 56 1 0.76974 >
< 1 57 0.793726 >
< 57 1 0.793726 >
< 1 58 0.87892 >
< 58 1 0.87892 >
< 1 59 0.912415 >
< 59 1 0.912415 >
< 1 60 0.998749 >
< 60 1 0.998749 >
< 1 61 0.692823 >
< 61 1 0.692823 >
< 1 62 0.653836 >
< 62 1 0.653836 >
< 1 63 0.708875 >
< 63 1 0.708875 >
< 1 64 0.687387 >
< 64 1 0.687387 >
< 1 65 0.754986 >
< 65 1 0.754986 >
< 1 66 0.750001 >
< 66 1 0.750001 >
< 1 67 0.826138 >
< 67 1 0.826138 >
< 1 68 0.835165 >
< 68 1 0.835165 >
< 1 69 0.916517 >
< 69 1 0.916517 >
< 1 70 0.93675 >
< 70 1 0.93675 >
< 1 71 1.02103 >
< 71 1 1.02103 >
< 1 72 1.05 >
< 72 1 1.05 >
< 1 73 0.779427 >
< 73 1 0.779427 >
< 1 74 0.826138 >
< 74 1 0.826138 >
< 1 75 0.793729 >
< 75 1 0.793729 >
< 1 76 0.852939 >
< 76 1 0.852939 >
< 1 77 0.835168 >
< 77 1 0.835168 >
< 1 78 0.904159 >
< 78 1 0.904159 >
< 1 79 0.900003 >
< 79 1 0.900003 >
< 1 80 0.975963 >
< 80 1 0.975963 >
< 1 81 0.983619 >
< 81 1 0.983619 >
< 1 82 1.06419 >
< 82 1 1.06419 >
< 1 83 1.08167 >
< 83 1 1.08167 >
< 1 84 1.16512 >
< 84 1 1.16512 >
< 2 3 0.0866036 >
< 3 2 0.0866036 >
< 2 4 0.15 >
< 4 2 0.15 >
< 2 5 0.229129 >
< 5 2 0.229129 >
< 2 6 0.3 >
< 6 2 0.3 >
< 2 7 0.377492 >
< 7 2 0.377492 >
< 2 8 0.45 >
< 8 2 0.45 >
< 2 9 0.526783 >
< 9 2 0.526783 >
< 2 10 0.6 >
< 10 2 0.6 >
< 2 11 0.676388 >
< 11 2 0.676388 >
< 2 12 0.75 >
< 12 2 0.75 >
< 2 13 0.15 >
< 13 2 0.15 >
< 2 14 0.0866033 >
< 14 2 0.0866033 >
< 2 15 0.15 >
< 15 2 0.15 >
< 2 16 0.173205 >
< 16 2 0.173205 >
